Symbol,Strategy,Date,Action,Price,Reason,Side,Net Profit,Cumulative Net Profit,N,L,Signal Date,Signal_Rolling_High,Signal_Rolling_Low,entry_close_t,exit_close_t,EntryPrice
0050,S3 MeanRevert-Long,2019-05-13,BUY,79.8,收盤 < L日低,long,0.0,0.0,10,20,2019-05-12,83.8,80.9,80.15,,
0050,S3 MeanRevert-Long,2019-06-10,SELL,79.0,收盤 > N日高,long,-0.8,-0.8,10,20,2019-06-09,78.95,76.3,80.15,79.05,79.8
0050,S3 MeanRevert-Long,2019-08-04,BUY,80.9,收盤 < L日低,long,0.0,-0.8,10,20,2019-08-01,83.9,81.4,80.95,,
0050,S3 MeanRevert-Long,2019-08-20,SELL,80.75,收盤 > N日高,long,-0.15,-0.9500000000000001,10,20,2019-08-19,80.9,78.5,80.95,81.0,80.9
0050,S3 MeanRevert-Long,2020-01-30,BUY,90.85,收盤 < L日低,long,0.0,-0.9500000000000001,10,20,2020-01-29,98.85,95.05,92.15,,
0050,S3 MeanRevert-Long,2020-04-08,SELL,79.65,收盤 > N日高,long,-11.2,-12.149999999999999,10,20,2020-04-07,78.9,67.25,92.15,79.6,90.85
0050,S3 MeanRevert-Long,2020-09-24,BUY,100.95,收盤 < L日低,long,0.0,-12.149999999999999,10,20,2020-09-23,107.0,101.15,100.45,,
0050,S3 MeanRevert-Long,2020-10-11,SELL,106.5,收盤 > N日高,long,5.55,-6.599999999999999,10,20,2020-10-07,105.0,100.05,100.45,106.2,100.95
0050,S3 MeanRevert-Long,2021-05-11,BUY,133.1,收盤 < L日低,long,0.0,-6.599999999999999,10,20,2021-05-10,142.0,135.0,133.25,,
0050,S3 MeanRevert-Long,2021-05-30,SELL,135.6,收盤 > N日高,long,2.5,-4.099999999999999,10,20,2021-05-27,135.15,121.2,133.25,135.8,133.1
0050,S3 MeanRevert-Long,2021-07-28,BUY,136.05,收盤 < L日低,long,0.0,-4.099999999999999,10,20,2021-07-27,141.85,136.05,134.25,,
0050,S3 MeanRevert-Long,2021-08-04,SELL,139.05,收盤 > N日高,long,3.0,-1.0999999999999988,10,20,2021-08-03,138.55,133.75,134.25,139.25,136.05
0050,S3 MeanRevert-Long,2021-08-19,BUY,132.4,收盤 < L日低,long,0.0,-1.0999999999999988,10,20,2021-08-18,139.45,132.45,131.8,,
0050,S3 MeanRevert-Long,2021-08-29,SELL,138.45,收盤 > N日高,long,6.05,4.950000000000001,10,20,2021-08-26,138.0,130.2,131.8,138.15,132.4
0050,S3 MeanRevert-Long,2021-09-29,BUY,136.5,收盤 < L日低,long,0.0,4.950000000000001,10,20,2021-09-28,142.2,136.3,136.0,,
0050,S3 MeanRevert-Long,2021-10-19,SELL,136.85,收盤 > N日高,long,0.35,5.300000000000001,10,20,2021-10-18,136.9,130.9,136.0,136.95,136.5
0050,S3 MeanRevert-Long,2022-01-25,BUY,141.35,收盤 < L日低,long,0.0,5.300000000000001,10,20,2022-01-24,152.4,141.7,141.65,,
0050,S3 MeanRevert-Long,2022-03-21,SELL,136.6,收盤 > N日高,long,-4.75,0.5500000000000007,10,20,2022-03-20,136.9,131.0,141.65,137.0,141.35
0050,S3 MeanRevert-Long,2022-04-18,BUY,132.45,收盤 < L日低,long,0.0,0.5500000000000007,10,20,2022-04-17,138.65,131.6,131.55,,
0050,S3 MeanRevert-Long,2022-05-30,SELL,128.25,收盤 > N日高,long,-4.2,-3.6499999999999995,10,20,2022-05-29,126.0,121.2,131.55,128.55,132.45
0050,S3 MeanRevert-Long,2022-06-19,BUY,121.1,收盤 < L日低,long,0.0,-3.6499999999999995,10,20,2022-06-16,129.1,122.1,120.85,,
0050,S3 MeanRevert-Long,2022-07-21,SELL,116.4,收盤 > N日高,long,-4.7,-8.35,10,20,2022-07-20,116.2,108.45,120.85,116.35,121.1
0050,S3 MeanRevert-Long,2022-09-01,BUY,115.3,收盤 < L日低,long,0.0,-8.35,10,20,2022-08-31,122.0,115.2,115.15,,
0050,S3 MeanRevert-Long,2022-11-08,SELL,102.35,收盤 > N日高,long,-12.95,-21.299999999999997,10,20,2022-11-07,100.85,96.5,115.15,101.6,115.3
0050,S3 MeanRevert-Long,2022-12-20,BUY,111.0,收盤 < L日低,long,0.0,-21.299999999999997,10,20,2022-12-19,116.8,112.0,110.3,,
0050,S3 MeanRevert-Long,2023-01-09,SELL,115.75,收盤 > N日高,long,4.75,-16.549999999999997,10,20,2023-01-08,112.25,108.4,110.3,115.8,111.0
0050,S3 MeanRevert-Long,2023-04-24,BUY,118.5,收盤 < L日低,long,0.0,-16.549999999999997,10,20,2023-04-23,121.65,118.4,118.15,,
0050,S3 MeanRevert-Long,2023-05-17,SELL,121.6,收盤 > N日高,long,3.1,-13.449999999999998,10,20,2023-05-16,119.0,115.5,118.15,120.55,118.5
0050,S3 MeanRevert-Long,2023-08-14,BUY,125.45,收盤 < L日低,long,0.0,-13.449999999999998,10,20,2023-08-13,130.65,126.15,124.5,,
0050,S3 MeanRevert-Long,2023-09-14,SELL,126.8,收盤 > N日高,long,1.35,-12.099999999999998,10,20,2023-09-13,126.8,122.9,124.5,126.95,125.45
0050,S3 MeanRevert-Long,2023-09-21,BUY,122.65,收盤 < L日低,long,0.0,-12.099999999999998,10,20,2023-09-20,127.35,123.4,122.75,,
0050,S3 MeanRevert-Long,2023-10-11,SELL,126.3,收盤 > N日高,long,3.65,-8.449999999999998,10,20,2023-10-10,124.5,121.35,122.75,126.25,122.65
0050,S3 MeanRevert-Long,2023-10-31,BUY,122.2,收盤 < L日低,long,0.0,-8.449999999999998,10,20,2023-10-30,127.0,121.35,121.15,,
0050,S3 MeanRevert-Long,2023-11-06,SELL,126.3,收盤 > N日高,long,4.1,-4.349999999999998,10,20,2023-11-05,125.6,121.1,121.15,126.55,122.2
0050,S3 MeanRevert-Long,2024-01-16,BUY,130.2,收盤 < L日低,long,0.0,-4.349999999999998,10,20,2024-01-15,135.95,131.95,131.65,,
0050,S3 MeanRevert-Long,2024-01-25,SELL,135.45,收盤 > N日高,long,5.25,0.9000000000000021,10,20,2024-01-24,134.4,127.3,131.65,135.65,130.2
0050,S3 MeanRevert-Long,2024-04-21,BUY,150.6,收盤 < L日低,long,0.0,0.9000000000000021,10,20,2024-04-18,163.35,153.0,150.9,,
0050,S3 MeanRevert-Long,2024-05-08,SELL,160.55,收盤 > N日高,long,9.95,10.850000000000001,10,20,2024-05-07,160.55,149.5,150.9,160.7,150.6
0050,S3 MeanRevert-Long,2024-07-22,BUY,183.9,收盤 < L日低,long,0.0,10.850000000000001,10,20,2024-07-21,202.8,180.8,180.7,,
0050,S3 MeanRevert-Long,2024-08-18,SELL,183.3,收盤 > N日高,long,-0.6,10.250000000000002,10,20,2024-08-15,181.85,158.4,180.7,183.4,183.9
0050,S4 MeanRevert-Short,2019-01-20,SELLSHORT,76.15,收盤 > N日高,short,0.0,0.0,10,20,2019-01-17,75.9,72.0,75.95,,
0050,S4 MeanRevert-Short,2019-05-13,BUYTOCOVER,79.8,收盤 < L日低,short,-3.65,-3.65,10,20,2019-05-12,83.8,80.9,75.95,80.15,76.15
0050,S4 MeanRevert-Short,2019-06-10,SELLSHORT,79.0,收盤 > N日高,short,0.0,-3.65,10,20,2019-06-09,78.95,76.3,79.05,,
0050,S4 MeanRevert-Short,2019-08-04,BUYTOCOVER,80.9,收盤 < L日低,short,-1.9,-5.55,10,20,2019-08-01,83.9,81.4,79.05,80.95,79.0
0050,S4 MeanRevert-Short,2019-08-20,SELLSHORT,80.75,收盤 > N日高,short,0.0,-5.55,10,20,2019-08-19,80.9,78.5,81.0,,
0050,S4 MeanRevert-Short,2020-01-30,BUYTOCOVER,90.85,收盤 < L日低,short,-10.1,-15.649999999999999,10,20,2020-01-29,98.85,95.05,81.0,92.15,80.75
0050,S4 MeanRevert-Short,2020-04-08,SELLSHORT,79.65,收盤 > N日高,short,0.0,-15.649999999999999,10,20,2020-04-07,78.9,67.25,79.6,,
0050,S4 MeanRevert-Short,2020-09-24,BUYTOCOVER,100.95,收盤 < L日低,short,-21.3,-36.95,10,20,2020-09-23,107.0,101.15,79.6,100.45,79.65
